# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.000000,1.590025,0.000000,-0.000000,0.479906,-0.443325,0.161202,-0.026850,0.001703,0.767017,0.000000,-0.000000,0.205508,-0.115731,0.028339,-0.003307,0.000143,0.112389,-0.000000,-0.000000,0.032012,-0.019755,0.004380,-0.000310,-0.000005,0.176961,-0.000000,-0.000000,1.045137,-0.945950,0.350514,-0.059760,0.003874
4.000000,1.806155,-0.258522,-0.116405,0.068732,-0.000749,-0.009480,0.002916,-0.000264,2.108978,0.293328,-0.130560,-0.063417,0.060340,-0.024459,0.004695,-0.000336,0.240878,0.043323,-0.003262,-0.023455,0.027150,-0.011678,0.002221,-0.000157,2.533117,0.587589,-0.100480,0.215309,-0.142181,0.042831,-0.006056,0.000325
4.000000,1.025276,0.125723,0.086894,-0.094061,0.095436,-0.041859,0.007989,-0.000562,1.265200,-0.436767,0.055619,-0.010400,0.032256,-0.013248,0.002267,-0.000149,0.379370,0.040557,0.001822,-0.020784,0.021440,-0.009016,0.001715,-0.000122,5.031597,0.646956,-0.026249,-0.048776,0.077128,-0.037328,0.007616,-0.000565
4.000000,1.974026,0.115560,-0.086994,-0.078120,0.076010,-0.030171,0.005658,-0.000402,1.270412,0.451844,0.040046,-0.051208,0.029112,-0.013754,0.002879,-0.000213,0.520154,0.040322,-0.000709,-0.019571,0.022299,-0.009729,0.001883,-0.000135,7.538942,0.657720,0.001811,-0.099622,0.105340,-0.044094,0.008295,-0.000584
4.000000,1.206291,-0.237877,0.056880,-0.044268,0.067200,-0.030580,0.005916,-0.000424,2.105237,-0.269220,-0.116489,-0.013209,0.036803,-0.014372,0.002639,-0.000188,0.660144,0.041090,0.000026,-0.021475,0.023368,-0.009978,0.001908,-0.000136,10.052804,0.649065,0.002094,-0.080662,0.087973,-0.037829,0.007277,-0.000522
4.000000,1.500676,0.334582,-0.001707,-0.091393,0.078749,-0.033541,0.006518,-0.000469,0.749789,0.009142,0.147956,-0.031514,0.029640,-0.014804,0.002912,-0.000207,0.800195,0.040496,-0.001052,-0.021688,0.025268,-0.011100,0.002149,-0.000154,12.566755,0.651637,-0.001454,-0.083720,0.093512,-0.040484,0.007808,-0.000560
4.000000,1.792972,-0.233567,-0.056489,-0.055178,0.079947,-0.033905,0.006455,-0.000463,2.107112,0.285265,-0.120793,-0.049963,0.040041,-0.015329,0.002962,-0.000216,0.938719,0.040236,0.001808,-0.022016,0.024520,-0.010925,0.002166,-0.000159,15.080109,0.653595,-0.000962,-0.089536,0.097901,-0.041616,0.007894,-0.000558
4.000000,1.025999,0.119743,0.088798,-0.086595,0.089160,-0.040006,0.007762,-0.000553,1.268170,-0.439448,0.045585,-0.004744,0.036762,-0.017132,0.003207,-0.000224,1.079216,0.045069,0.001560,-0.028298,0.027586,-0.011023,0.002019,-0.000140,17.591221,0.649592,0.006886,-0.075169,0.073328,-0.029088,0.005220,-0.000351
4.000000,1.973004,0.121045,-0.083343,-0.081698,0.067026,-0.021823,0.003295,-0.000184,1.267262,0.456291,0.047824,-0.061214,0.033134,-0.014676,0.003043,-0.000229,1.221701,0.039220,-0.004087,-0.021343,0.027597,-0.012355,0.002379,-0.000168,20.102089,0.638224,0.020730,-0.021137,-0.010757,0.014280,-0.004252,0.000398
4.000000,1.196110,-0.260093,0.109865,0.072044,-0.148118,0.086489,-0.020235,0.001655,2.109495,-0.266313,-0.133538,-0.034261,0.085852,-0.042792,0.009299,-0.000745,1.357129,0.039833,0.009952,-0.014666,0.003054,0.002005,-0.000863,0.000088,22.600621,0.589062,0.095211,0.211120,-0.391179,0.213077,-0.047677,0.003796
