# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,1.540668,-0.000000,0.000000,2.159608,-3.985112,2.974207,-1.019278,0.132692,1.002666,-0.000000,0.000000,0.276408,-0.302414,0.152941,-0.036357,0.003149,0.105378,0.000000,0.000000,0.181317,-0.286409,0.183959,-0.053960,0.005968,-0.079928,-0.000000,0.000000,-4.475515,8.272659,-6.238012,2.159029,-0.283647
2.000000,1.981212,0.073130,-0.205860,0.470284,-0.614626,0.363365,-0.099721,0.010292,1.345683,0.305262,0.026402,-0.078831,0.121005,-0.093607,0.032115,-0.004088,0.170514,0.040758,-0.009134,-0.043151,0.104876,-0.085834,0.030436,-0.003985,-1.266892,-0.562491,0.205719,-1.212586,1.881870,-1.310743,0.429721,-0.054026
2.000000,1.795217,-0.241307,-0.082754,-0.103948,0.329467,-0.294277,0.113355,-0.016050,1.903879,0.183028,-0.070738,-0.006094,-0.033799,0.035773,-0.013722,0.001882,0.239420,0.034063,0.008815,0.000494,-0.026748,0.029226,-0.011885,0.001696,-2.516703,-0.627385,0.063331,-0.086442,-0.046298,0.128098,-0.069198,0.011797
2.000000,1.204913,-0.245199,0.078165,-0.090510,0.125985,-0.059851,0.009650,0.000021,1.904890,-0.184194,-0.085096,0.012939,0.015982,-0.015374,0.006182,-0.000888,0.310409,0.035074,-0.005093,0.003452,0.007876,-0.010749,0.004636,-0.000678,-3.769994,-0.646110,0.001268,0.201573,-0.402465,0.314558,-0.110347,0.014495
2.000000,1.023937,0.087101,0.100973,0.079274,-0.173369,0.124546,-0.039860,0.004721,1.345291,-0.298906,0.032816,0.017421,-0.001061,0.000098,-0.000016,-0.000025,0.379842,0.034851,0.002099,-0.001141,-0.003263,0.004094,-0.001683,0.000236,-5.024943,-0.629105,-0.026220,0.026038,0.046361,-0.079224,0.039286,-0.006442
2.000000,1.501020,0.319946,-0.014617,-0.059836,0.110735,-0.092913,0.033200,-0.004316,0.999993,0.000853,0.098843,-0.003885,-0.000301,0.000649,-0.001044,0.000238,0.450093,0.035225,-0.000876,-0.000591,0.001847,-0.000872,0.000026,0.000034,-6.283388,-0.618958,0.004459,-0.093701,0.150179,-0.094974,0.026211,-0.002570
2.000000,1.974639,0.094721,-0.081432,0.004531,-0.052281,0.053178,-0.020321,0.002775,1.345577,0.298016,0.029517,-0.014172,-0.006272,0.001948,0.000077,-0.000069,0.520041,0.034428,-0.000426,0.002782,-0.001419,-0.001099,0.000980,-0.000191,-7.540764,-0.636331,0.012578,0.063610,-0.146837,0.114083,-0.038114,0.004664
2.000000,1.794525,-0.253595,-0.066671,0.016297,0.029847,-0.031370,0.012750,-0.001836,1.904330,0.184869,-0.078307,-0.012915,-0.000064,0.003115,-0.001036,0.000114,0.589878,0.035461,0.001244,-0.002626,0.000172,0.001629,-0.000906,0.000144,-8.795264,-0.623221,-0.016297,-0.034107,0.107694,-0.093736,0.033990,-0.004478
2.000000,1.205664,-0.253935,0.063800,0.011940,-0.011607,0.014112,-0.006509,0.000992,1.904503,-0.183908,-0.080008,0.009366,0.006275,-0.002199,0.000488,-0.000057,0.660095,0.035302,-0.000752,-0.000428,0.000736,0.000221,-0.000369,0.000083,-10.054056,-0.630520,0.013125,0.008675,-0.052438,0.050948,-0.019499,0.002662
2.000000,1.024761,0.096675,0.090141,-0.002498,0.002794,-0.009637,0.004626,-0.000713,1.345577,-0.298442,0.029750,0.017797,0.003794,-0.004231,0.001353,-0.000171,0.730107,0.034669,-0.000851,0.001658,-0.000129,-0.000863,0.000454,-0.000068,-11.309108,-0.627470,-0.008611,-0.002216,0.030991,-0.033451,0.013724,-0.001986
